feature,importance
omen_log10,6769.0
zxcvbn_log10_guesses,6515.0
dictionary_coverage_ratio,5455.0
longest_dictionary_word_length,3464.0
combined_entropy_pca_norm,3228.0
num_lower,3205.0
transitions_to_length_ratio,3004.0
length,2710.0
letter_spread,2699.0
bigram_entropy,2227.0
length_adjusted_entropy,2225.0
num_upper,2079.0
digit_spread,1787.0
num_digits,1758.0
alternating_pattern_score,1360.0
num_consecutive_letter_runs,1232.0
longest_same_char_streak,1057.0
num_special_char,975.0
digit_letter_mixing_score,953.0
contains_common_name,948.0
special_spread,917.0
num_consecutive_upper_runs,722.0
letter_to_digit,512.0
digit_to_letter,501.0
num_consecutive_digit_runs,413.0
last_is_digit,371.0
num_consecutive_special_runs,347.0
contains_year,298.0
first_is_upper,284.0
contains_name,277.0
first_is_digit,275.0
first_is_special,204.0
last_is_special,203.0
last_is_upper,197.0
contains_dictionary_word,10.0
